Date,Open,High,Low,Close,Adj Close,Volume
2009-01-01,650.000000,740.000000,540.000000,550.000000,419.777832,1390322500
2009-02-01,550.000000,570.000000,460.000000,470.000000,363.301422,1388327500
2009-03-01,460.000000,650.000000,455.000000,620.000000,479.248596,1751177500
2009-04-01,635.000000,725.000000,605.000000,670.000000,517.897583,1595552500
2009-05-01,695.000000,720.000000,625.000000,675.000000,521.762634,1328152500
2009-06-01,685.000000,805.000000,675.000000,705.000000,544.951965,2515117500
2009-07-01,720.000000,770.000000,685.000000,755.000000,593.302979,2513035000
2009-08-01,770.000000,885.000000,755.000000,850.000000,667.957092,1219842500
2009-09-01,875.000000,970.000000,840.000000,925.000000,726.894287,843602500
2009-10-01,965.000000,1100.000000,840.000000,915.000000,719.036133,2147357500
2009-11-01,920.000000,965.000000,895.000000,960.000000,754.398499,720247500
2009-12-01,985.000000,1000.000000,925.000000,970.000000,768.662415,705062500
2010-01-01,970.000000,1030.000000,945.000000,1000.000000,792.435547,867927500
2010-02-01,970.000000,1020.000000,885.000000,975.000000,772.624390,1144310000
2010-03-01,960.000000,1170.000000,960.000000,1100.000000,871.678955,1335900000
2010-04-01,1090.000000,1240.000000,1080.000000,1090.000000,863.754456,1251987500
2010-05-01,1100.000000,1120.000000,965.000000,1110.000000,879.603333,2123110000
2010-06-01,1060.000000,1200.000000,1050.000000,1190.000000,942.998230,1111485000
2010-07-01,1140.000000,1260.000000,1100.000000,1190.000000,955.043823,765620000
2010-08-01,1190.000000,1230.000000,1130.000000,1160.000000,930.966980,809342500
2010-09-01,1210.000000,1380.000000,1170.000000,1340.000000,1075.427246,934710000
2010-10-01,1400.000000,1420.000000,1310.000000,1400.000000,1123.580933,1104945000
2010-11-01,1410.000000,1440.000000,1210.000000,1210.000000,971.094849,1249227500
2010-12-01,1280.000000,1350.000000,1230.000000,1280.000000,1033.594482,1165507500
2011-01-01,1290.000000,1330.000000,1060.000000,1130.000000,912.470154,2276050000
2011-02-01,1130.000000,1290.000000,1110.000000,1260.000000,1017.444824,1377847500
2011-03-01,1290.000000,1400.000000,1260.000000,1390.000000,1122.419189,1441395000
2011-04-01,1420.000000,1540.000000,1360.000000,1480.000000,1195.093506,879295000
2011-05-01,1500.000000,1500.000000,1400.000000,1420.000000,1146.644043,918920000
2011-06-01,1420.000000,1540.000000,1400.000000,1530.000000,1235.468384,998740000
2011-07-01,1560.000000,1700.000000,1510.000000,1660.000000,1353.695435,1001080000
2011-08-01,1710.000000,1770.000000,1450.000000,1600.000000,1304.766724,2086925000
2011-09-01,1600.000000,1700.000000,1390.000000,1540.000000,1255.838379,1512597500
2011-10-01,1470.000000,1630.000000,1410.000000,1620.000000,1321.076660,1255495000
2011-11-01,1580.000000,1680.000000,1490.000000,1580.000000,1288.457397,1539405000
2011-12-01,1580.000000,1650.000000,1540.000000,1600.000000,1304.766724,698020000
2012-01-01,1600.000000,1650.000000,1570.000000,1600.000000,1311.991455,977085015
2012-02-01,1600.000000,1650.000000,1440.000000,1520.000000,1246.391724,2251822500
2012-03-01,1530.000000,1630.000000,1490.000000,1600.000000,1311.991455,926090010
2012-04-01,1610.000000,1650.000000,1550.000000,1600.000000,1311.991455,791902500
2012-05-01,1600.000000,1620.000000,1400.000000,1400.000000,1147.992432,1554630000
2012-06-01,1420.000000,1500.000000,1350.000000,1460.000000,1197.192139,1244395000
2012-07-01,1470.000000,1610.000000,1450.000000,1600.000000,1325.149048,1469487500
