Date,Open,High,Low,Close,Adj Close,Volume
2018-11-01,1370.000000,1625.000000,1315.000000,1525.000000,1385.917236,743153100
2018-12-01,1550.000000,1645.000000,1430.000000,1520.000000,1381.373169,508353500
2019-01-01,1520.000000,1635.000000,1500.000000,1600.000000,1454.077026,437044100
2019-02-01,1600.000000,1615.000000,1480.000000,1495.000000,1358.653320,477584400
2019-03-01,1510.000000,1570.000000,1490.000000,1520.000000,1381.373169,173443400
2019-04-01,1520.000000,1545.000000,1470.000000,1545.000000,1404.093384,293758700
2019-05-01,1545.000000,1545.000000,1260.000000,1405.000000,1276.861572,577782300
2019-06-01,1405.000000,1495.000000,1400.000000,1460.000000,1326.845215,276130800
2019-07-01,1465.000000,1495.000000,1360.000000,1470.000000,1361.121338,372543200
2019-08-01,1470.000000,1690.000000,1360.000000,1690.000000,1564.826538,963443400
2019-09-01,1680.000000,1690.000000,1635.000000,1675.000000,1550.937622,553771100
2019-10-01,1650.000000,1680.000000,1560.000000,1595.000000,1476.863159,518916900
2019-11-01,1595.000000,1640.000000,1475.000000,1525.000000,1412.047729,477448800
2019-12-01,1535.000000,1640.000000,1525.000000,1620.000000,1500.011353,399682400
2020-01-01,1620.000000,1680.000000,1430.000000,1430.000000,1324.083984,359837100
2020-02-01,1410.000000,1490.000000,1175.000000,1220.000000,1129.638184,441323900
2020-03-01,1220.000000,1340.000000,830.000000,1200.000000,1111.119507,1182501600
2020-04-01,1200.000000,1500.000000,1085.000000,1440.000000,1333.343140,1146748900
2020-05-01,1440.000000,1460.000000,1310.000000,1415.000000,1310.195068,707736900
2020-06-01,1415.000000,1520.000000,1320.000000,1460.000000,1351.861938,635977300
2020-07-01,1470.000000,1695.000000,1450.000000,1565.000000,1469.860474,2083450100
2020-08-01,1575.000000,1640.000000,1470.000000,1580.000000,1483.948608,790818700
2020-09-01,1585.000000,1610.000000,1410.000000,1550.000000,1455.772339,586818300
2020-10-01,1600.000000,1650.000000,1515.000000,1525.000000,1432.291992,498413600
2020-11-01,1530.000000,1545.000000,1440.000000,1505.000000,1413.508057,975329700
2020-12-01,1505.000000,1590.000000,1455.000000,1480.000000,1390.027710,999311700
2021-01-01,1480.000000,1960.000000,1455.000000,1465.000000,1381.598022,3303562900
2021-02-01,1450.000000,1610.000000,1420.000000,1470.000000,1386.313354,1040953200
2021-03-01,1490.000000,1635.000000,1485.000000,1570.000000,1480.620361,891980700
2021-04-01,1570.000000,1580.000000,1440.000000,1440.000000,1358.021240,369476600
2021-05-01,1450.000000,1480.000000,1415.000000,1450.000000,1367.451904,492527700
2021-06-01,1450.000000,1525.000000,1280.000000,1400.000000,1320.298340,850085400
2021-07-01,1400.000000,1420.000000,1260.000000,1260.000000,1210.948608,532289100
2021-08-01,1280.000000,1395.000000,1240.000000,1345.000000,1292.639526,699788600
2021-09-01,1345.000000,1495.000000,1345.000000,1430.000000,1374.330444,526216600
2021-10-01,1430.000000,1610.000000,1355.000000,1600.000000,1537.712524,1084153700
